rank,reds,count
70,"1,4,11,15,18,19",1
71,"9,16,22,23,30,32",1
72,"2,10,14,18,27,28",1
73,"3,5,10,16,29,31",1
74,"2,10,11,19,24,31",1
75,"11,15,18,27,31,33",1
76,"10,11,12,19,23,32",1
77,"4,8,15,20,22,32",1
78,"2,5,8,9,28,33",1
79,"5,19,22,27,28,32",1
80,"4,7,9,14,18,19",1
81,"2,20,21,28,31,33",1
82,"2,8,9,18,27,31",1
83,"2,16,19,27,29,32",1
84,"5,6,8,13,25,32",1
85,"5,15,16,17,18,22",1
86,"4,15,16,18,19,27",1
87,"2,3,10,11,27,32",1
88,"7,8,12,16,19,32",1
89,"2,15,18,26,29,31",1
90,"2,16,24,26,28,30",1
91,"15,16,23,26,31,33",1
92,"1,2,11,19,22,27",1
93,"2,4,10,13,23,24",1
94,"3,11,19,28,30,33",1
95,"5,8,12,20,26,31",1
96,"2,19,22,26,27,30",1
97,"5,6,8,11,19,31",1
98,"5,19,20,25,27,32",1
99,"11,13,14,18,27,28",1
100,"4,21,24,28,31,32",1
101,"3,4,10,18,26,27",1
102,"6,16,19,27,31,32",1
103,"1,2,4,9,22,31",1
104,"2,6,19,22,27,31",1
105,"3,7,11,17,22,33",1
106,"2,9,15,22,26,30",1
107,"4,9,11,19,22,24",1
108,"9,14,16,21,27,33",1
109,"1,5,6,31,32,33",1
110,"1,10,12,22,28,33",1
111,"5,9,17,28,30,32",1
112,"11,15,17,22,30,31",1
113,"8,15,20,24,27,32",1
114,"2,4,12,22,24,32",1
115,"4,6,10,11,19,28",1
116,"9,13,16,19,23,29",1
117,"10,16,19,20,23,33",1
118,"1,2,19,26,30,32",1
119,"8,9,10,27,28,32",1
120,"3,4,15,22,28,33",1
121,"1,4,6,15,19,22",1
122,"6,12,13,15,18,26",1
123,"2,4,16,19,23,31",1
124,"2,10,19,20,30,31",1
125,"2,8,16,18,19,31",1
126,"2,3,10,11,26,32",1
127,"3,8,11,18,31,32",1
128,"4,9,17,18,27,28",1
129,"1,4,5,8,9,31",1
130,"3,5,20,26,27,33",1
131,"3,16,18,19,30,31",1
132,"4,11,14,22,29,31",1
133,"4,9,12,15,30,31",1
134,"2,4,15,16,31,33",1
135,"11,15,22,24,27,30",1
136,"16,23,26,28,30,32",1
137,"9,17,25,26,28,29",1
138,"11,15,20,21,22,28",1
139,"2,5,9,10,11,27",1
140,"3,6,18,25,26,30",1
141,"3,14,15,16,30,32",1
142,"2,10,16,22,26,28",1
143,"9,11,18,26,31,32",1
144,"3,4,11,20,22,26",1
145,"3,8,11,19,23,30",1
146,"7,9,16,18,26,31",1
147,"2,5,10,24,26,28",1
148,"2,9,10,16,27,31",1
149,"6,10,19,28,29,30",1
150,"12,15,27,28,30,33",1
151,"1,4,14,27,28,30",1
152,"8,15,17,22,24,33",1
153,"5,11,16,18,26,33",1
154,"8,15,19,22,26,27",1
155,"2,4,5,11,19,26",1
156,"9,11,13,16,30,31",1
157,"3,5,9,10,15,26",1
158,"2,13,15,20,32,33",1
159,"4,10,29,30,31,32",1
160,"10,13,18,19,28,33",1
161,"4,10,11,16,18,31",1
162,"2,11,18,20,27,30",1
163,"1,3,8,11,24,33",1
164,"2,3,8,16,26,33",1
165,"1,18,26,28,30,32",1
166,"2,5,18,26,30,33",1
167,"6,8,9,11,15,27",1
168,"2,8,11,18,27,32",1
169,"3,5,9,21,26,33",1
170,"5,10,11,16,19,28",1
171,"2,4,12,16,19,27",1
172,"3,8,9,16,22,30",1
173,"2,15,16,25,27,29",1
174,"2,5,16,19,20,24",1
175,"8,10,18,19,22,28",1
176,"1,3,10,22,27,33",1
177,"1,2,5,8,15,18",1
178,"2,9,10,16,29,32",1
179,"2,11,18,27,32,33",1
180,"3,18,20,31,32,33",1
181,"2,5,18,22,29,33",1
182,"6,10,12,16,19,33",1
183,"5,10,12,15,18,23",1
184,"2,4,8,9,18,29",1
185,"5,11,15,17,25,27",1
186,"2,9,15,19,22,24",1
187,"4,5,16,22,26,27",1
188,"3,8,11,15,19,29",1
189,"1,10,12,19,27,33",1
190,"2,3,4,8,19,30",1
191,"2,15,16,18,25,33",1
192,"8,9,20,25,28,32",1
193,"16,19,22,27,31,32",1
194,"2,9,26,30,32,33",1
195,"3,5,10,12,16,19",1
196,"3,14,16,19,26,30",1
197,"2,8,20,26,28,31",1
198,"6,10,13,19,20,31",1
199,"9,11,12,15,18,31",1
200,"3,8,9,10,22,29",1
