rank,reds,count
124,"3,9,10,11,12,28",1
125,"15,18,20,21,28,33",1
126,"5,16,17,20,25,32",1
127,"1,16,19,30,32,33",1
128,"6,10,20,21,27,31",1
129,"3,4,13,15,20,24",1
130,"1,3,17,20,22,24",1
131,"1,2,3,5,12,32",1
132,"7,9,12,20,21,22",1
133,"4,15,24,25,31,32",1
134,"2,5,19,20,23,32",1
135,"12,22,25,26,29,31",1
136,"2,8,19,21,28,33",1
137,"2,13,15,19,20,32",1
138,"8,15,21,23,28,30",1
139,"5,14,18,20,31,33",1
140,"9,10,14,15,30,33",1
141,"8,12,13,18,19,33",1
142,"9,10,11,13,16,24",1
143,"1,2,9,11,16,26",1
144,"5,18,19,20,27,28",1
145,"6,7,19,22,30,33",1
146,"5,12,19,28,31,32",1
147,"8,17,18,22,25,33",1
148,"6,18,21,27,28,31",1
149,"1,7,12,16,24,29",1
150,"1,2,4,11,28,33",1
151,"4,11,13,20,24,29",1
152,"7,20,27,28,32,33",1
153,"12,23,30,31,32,33",1
154,"1,2,8,25,30,33",1
155,"4,9,16,22,29,33",1
156,"6,9,10,11,20,29",1
157,"1,2,14,27,30,33",1
158,"6,13,19,24,25,26",1
159,"2,5,9,10,29,30",1
160,"9,12,14,15,19,20",1
161,"8,10,12,19,23,33",1
162,"2,6,16,21,31,33",1
163,"2,4,7,17,22,29",1
164,"2,5,6,17,21,24",1
165,"1,5,12,20,23,32",1
166,"4,13,16,17,20,33",1
167,"10,15,16,21,22,27",1
168,"7,8,10,13,19,24",1
169,"6,9,10,14,15,21",1
170,"5,10,14,15,25,26",1
171,"2,3,6,10,17,27",1
172,"3,7,10,11,16,20",1
173,"3,5,8,9,16,24",1
174,"6,14,21,23,32,33",1
175,"6,17,18,22,27,33",1
176,"1,5,10,16,20,25",1
177,"4,9,10,23,29,32",1
178,"2,5,7,15,18,26",1
179,"8,12,14,17,29,31",1
180,"1,17,26,28,29,32",1
181,"7,10,13,21,28,32",1
182,"5,8,9,13,14,24",1
183,"16,17,18,19,27,30",1
184,"12,15,17,18,23,30",1
185,"5,6,7,18,26,29",1
186,"5,10,16,25,30,33",1
187,"1,2,6,27,30,33",1
188,"8,11,17,30,32,33",1
189,"2,5,7,12,19,26",1
190,"5,6,9,22,24,27",1
191,"5,7,8,14,18,21",1
192,"3,8,12,13,16,21",1
193,"1,5,6,9,12,20",1
194,"15,18,23,26,29,30",1
195,"12,15,19,27,28,30",1
196,"2,11,14,18,27,33",1
197,"5,6,8,12,15,23",1
198,"3,8,11,20,21,24",1
199,"3,4,7,14,17,26",1
200,"1,3,12,22,23,26",1
