期号,红1,红2,红3,红4,红5,红6,蓝
2023123,4,13,18,21,24,25,6
2023124,9,13,14,16,24,31,10
2023125,6,7,8,10,12,13,10
2023126,1,2,9,18,30,32,10
2023127,1,4,9,19,28,32,10
2023128,2,6,11,15,31,33,9
2023129,3,8,13,16,27,31,3
2023130,4,5,10,19,26,32,3
2023131,8,14,16,18,20,25,8
2023132,10,15,25,28,29,30,14
2023133,4,20,24,25,32,33,7
2023134,3,6,8,14,17,22,6
2023135,1,5,11,14,15,23,16
2023136,3,8,10,19,23,30,15
2023137,5,9,15,26,29,30,7
2023138,5,8,18,21,28,32,9
2023139,2,5,6,10,26,33,10
2023140,8,10,15,23,29,30,13
2023141,2,3,15,18,20,32,14
2023142,1,3,8,17,21,22,1
2023143,3,6,16,18,25,31,15
2023144,12,14,18,19,21,27,16
2023145,6,11,12,14,29,31,4
2023146,10,11,14,16,22,23,13
2023147,3,9,11,30,32,33,4
2023148,1,15,18,22,26,28,14
2023149,4,12,13,17,20,25,16
2023150,4,5,7,9,18,29,10
2023151,1,4,20,21,29,32,8
2023152,1,11,14,18,20,31,3
2023153,4,8,15,21,27,33,5
2023154,9,14,17,19,23,32,16
2023155,5,13,15,16,18,31,7
2023156,3,9,25,28,32,33,14
2023157,1,10,18,22,24,27,10
2023158,10,12,15,16,18,32,11
2023159,7,11,25,28,30,32,8
2023160,2,14,15,25,28,33,11
2023161,13,22,25,26,27,31,5
2023162,3,5,11,17,19,32,4
2023163,1,7,15,17,29,30,5
2023164,3,9,10,16,26,27,11
2023165,6,11,22,26,28,31,13
2023166,2,18,20,21,28,32,3
2023167,3,8,14,16,19,24,4
2023168,1,6,7,10,23,29,2
2023169,4,10,12,14,21,30,5
2023170,6,16,19,22,26,27,6
2023171,6,12,13,20,28,31,8
2023172,8,9,10,15,21,32,15
2023173,1,10,15,17,26,29,6
2023174,5,10,12,19,29,31,14
2023175,7,10,13,17,28,30,16
2023176,7,12,13,16,19,30,10
2023177,2,9,13,19,22,27,1
2023178,4,10,27,29,30,32,8
2023179,7,9,15,20,21,23,5
2023180,2,3,7,10,15,26,12
2023181,6,9,10,11,24,30,14
2023182,5,12,13,18,26,33,9
2023183,11,16,17,26,27,30,10
2023184,3,5,8,15,22,25,8
2023185,1,3,13,24,26,33,9
2023186,8,12,22,24,30,32,9
2023187,4,8,16,22,24,25,1
2023188,3,15,21,27,31,33,15
2023189,2,4,5,20,27,29,10
2023190,4,8,18,29,32,33,5
2023191,12,22,23,24,25,30,14
2023192,4,10,16,21,27,32,14
2023193,3,7,12,15,18,23,15
2023194,4,12,16,18,22,24,12
2023195,4,7,9,26,28,33,15
2023196,1,6,14,20,21,31,2
2023197,5,7,16,19,22,26,3
2023198,8,11,14,27,28,33,5
2023199,1,5,18,28,30,32,9
2023200,1,5,8,12,22,28,1
2023201,1,6,11,16,19,23,9
2023202,4,9,14,17,24,33,3
2023203,12,17,19,25,29,31,4
2023204,2,15,20,24,29,31,10
2023205,2,13,16,28,30,32,14
2023206,3,7,15,23,30,32,3
2023207,3,5,9,10,20,21,11
2023208,14,15,17,19,20,25,4
2023209,8,14,15,29,32,33,14
2023210,4,13,14,22,24,30,11
2023211,5,9,12,21,22,28,16
2023212,3,5,6,14,27,30,4
2023213,2,9,18,19,24,31,11
2023214,8,12,22,25,27,28,14
2023215,4,10,12,19,20,33,7
2023216,4,8,10,12,28,31,12
2023217,8,14,18,19,26,33,1
2023218,2,6,9,18,23,25,10
2023219,1,5,6,22,23,28,13
2023220,1,3,5,10,21,24,7
2023221,6,11,12,15,25,27,10
2023222,2,5,6,21,29,32,2
2023223,6,14,15,16,18,22,15
2023224,4,7,17,18,25,27,12
2023225,8,10,19,22,28,30,16
2023226,2,3,8,13,20,33,1
2023227,5,7,14,20,25,31,9
2023228,1,4,16,19,21,24,14
2023229,8,9,12,13,18,23,12
2023230,2,5,14,24,26,28,1
2023231,5,11,14,19,28,30,13
2023232,1,4,11,13,19,27,6
2023233,3,4,14,24,28,30,8
2023234,3,13,17,26,28,33,10
2023235,3,6,11,15,22,25,4
2023236,12,13,25,29,31,33,5
2023237,5,6,7,9,16,32,5
2023238,5,12,16,21,25,31,15
2023239,5,11,21,28,29,32,15
2023240,5,10,15,21,26,31,9
2023241,3,4,10,15,17,23,15
2023242,3,4,10,12,27,33,3
2023243,15,18,19,25,26,33,2
2023244,11,13,16,17,20,29,5
2023245,4,26,27,29,32,33,11
2023246,2,6,8,12,15,23,15
2023247,10,11,12,13,24,30,14
2023248,4,11,21,22,26,30,3
2023249,7,10,13,18,22,33,9
2023250,3,5,10,19,22,32,12
2023251,3,5,20,23,26,33,10
2023252,5,22,23,25,27,32,3
2023253,1,6,10,12,24,28,7
2023254,5,7,8,22,29,32,3
2023255,7,17,18,19,25,27,2
2023256,5,6,9,13,20,22,6
2023257,2,11,12,14,22,29,8
2023258,15,19,24,25,26,29,8
2023259,16,20,26,30,31,33,7
2023260,10,15,24,25,29,30,13
2023261,6,7,27,31,32,33,5
2023262,4,12,16,17,21,28,4
2023263,3,6,8,9,19,25,15
2023264,3,8,10,14,27,33,15
2023265,2,13,14,17,23,32,12
2023266,1,3,8,12,16,25,11
2023267,2,5,7,22,26,30,10
2023268,9,15,16,23,25,31,1
2023269,2,5,6,7,9,27,14
2023270,2,4,8,10,19,33,8
2023271,3,4,16,27,30,33,1
2023272,5,10,14,16,23,33,1
2023273,6,14,16,19,22,23,3
2023274,5,17,18,24,30,31,1
2023275,2,12,13,21,25,31,9
2023276,2,3,8,12,23,26,4
2023277,2,9,11,12,18,22,6
2023278,5,6,21,26,30,31,3
2023279,2,3,7,10,26,30,7
2023280,3,10,13,17,21,30,16
2023281,3,7,10,17,21,25,12
2023282,4,9,12,22,26,33,14
2023283,6,11,13,26,29,32,16
2023284,9,17,24,26,30,32,3
2023285,6,14,20,27,28,32,10
2023286,3,7,10,11,21,22,10
2023287,6,12,15,23,28,29,15
2023288,3,9,14,20,21,23,2
2023289,5,12,17,24,26,32,6
2023290,2,10,20,22,26,28,15
2023291,3,8,9,21,25,33,12
2023292,2,19,20,24,25,31,5
2023293,3,12,15,24,25,29,5
2023294,8,9,11,21,24,26,4
2023295,2,12,13,16,17,18,4
2023296,7,15,17,20,23,33,10
2023297,3,4,5,13,28,32,15
2023298,3,12,22,26,28,29,11
2023299,5,10,18,23,29,31,6
2023300,4,7,8,12,17,24,5
2023301,1,12,16,18,19,32,12
2023302,3,9,20,29,30,33,10
2023303,14,17,25,26,30,31,3
2023304,3,9,15,21,29,32,12
2023305,5,9,12,14,17,25,2
2023306,6,8,10,11,30,32,8
2023307,3,7,9,19,23,28,9
2023308,3,9,17,18,20,32,6
2023309,10,11,20,22,24,30,11
2023310,2,3,21,25,32,33,9
2023311,1,14,16,20,21,27,10
2023312,8,20,22,26,30,31,13
2023313,2,3,6,20,23,30,15
2023314,7,11,15,20,27,31,5
2023315,12,13,21,24,28,33,5
2023316,4,7,8,11,15,24,9
2023317,2,4,5,10,16,29,13
2023318,6,16,27,28,29,31,11
2023319,6,13,16,17,21,25,15
2023320,1,3,13,16,20,32,15
2023321,2,12,14,16,19,29,10
2023322,1,10,18,28,31,32,4
2023323,9,12,24,28,29,32,13
2023324,2,3,13,18,19,24,7
2023325,3,13,15,17,19,24,9
2023326,4,8,9,12,13,26,11
2023327,7,10,13,17,20,24,2
2023328,3,5,11,23,26,33,16
2023329,5,10,17,20,29,30,11
2023330,11,13,20,21,24,27,10
2023331,10,16,19,22,23,32,1
2023332,4,14,19,22,24,32,10
2023333,2,9,21,25,26,31,8
2023334,4,6,17,21,24,31,13
2023335,2,4,10,16,19,23,7
2023336,2,5,11,14,29,30,7
2023337,24,27,28,29,31,32,2
2023338,9,11,14,16,18,22,13
2023339,11,12,15,18,21,30,12
2023340,7,8,9,17,18,31,10
2023341,7,10,15,20,23,25,16
2023342,12,18,21,24,26,31,9
2023343,8,13,18,19,22,33,13
2023344,2,10,23,31,32,33,3
2023345,9,16,21,23,24,29,7
2023346,9,13,18,23,30,32,5
2023347,2,7,8,16,17,22,8
2023348,4,11,14,15,23,32,16
2023349,1,6,7,9,14,18,16
2023350,10,11,13,25,30,31,2
2023351,6,15,18,24,28,30,2
2023352,2,6,12,27,29,32,13
2023353,10,12,24,28,30,32,2
2023354,1,4,11,19,20,32,10
2023355,5,17,28,29,30,32,15
2023356,4,6,11,13,18,26,15
2023357,1,11,12,17,24,26,10
2023358,12,13,20,21,28,33,14
2023359,3,4,13,21,22,33,6
2023360,1,8,9,11,30,31,9
2023361,9,11,15,16,25,33,10
2023362,1,8,12,17,21,23,2
2023363,6,8,10,13,22,30,10
2023364,8,12,19,20,29,33,5
2023365,10,12,15,20,24,31,14
2023366,8,14,22,25,31,33,3
2023367,3,4,19,24,29,30,2
2023368,5,6,13,18,19,33,11
2023369,7,8,19,22,23,29,16
2023370,2,5,6,15,26,29,14
2023371,4,15,18,22,26,30,10
2023372,1,2,9,24,26,27,7
2023373,3,5,12,14,23,32,2
2023374,2,5,6,10,14,31,5
2023375,13,15,24,27,28,29,13
2023376,6,18,22,25,28,31,5
2023377,6,8,13,17,18,23,5
2023378,1,10,15,25,32,33,14
2023379,5,8,12,15,25,32,9
2023380,2,8,13,14,22,26,1
2023381,2,3,4,14,16,20,15
2023382,2,4,13,15,16,24,8
2023383,4,5,8,10,14,17,11
2023384,5,10,16,21,22,29,8
2023385,2,9,18,19,20,27,6
2023386,2,12,21,22,28,32,13
2023387,5,10,13,14,21,27,6
2023388,8,10,16,28,31,33,5
2023389,4,14,18,30,31,33,5
2023390,7,9,11,16,21,25,3
2023391,3,18,24,27,29,32,7
2023392,4,13,18,20,22,29,2
2023393,5,13,19,24,25,26,7
2023394,10,11,14,28,30,31,1
2023395,4,13,14,24,30,31,16
2023396,8,13,14,16,18,30,11
2023397,12,15,18,19,21,25,10
2023398,15,16,17,24,29,33,4
2023399,7,11,12,21,30,31,14
2023400,1,3,5,9,15,24,14
2023401,7,8,10,11,13,19,8
2023402,9,16,22,25,27,32,16
2023403,6,11,12,24,26,30,5
2023404,12,18,21,29,30,32,2
2023405,2,3,5,22,27,31,1
2023406,3,8,9,21,27,33,5
2023407,1,2,12,14,15,17,16
2023408,1,2,14,18,30,32,1
2023409,1,2,10,17,18,32,14
2023410,4,5,7,12,17,30,8
2023411,9,12,13,17,26,27,13
2023412,6,13,15,19,24,31,8
2023413,3,15,20,22,27,28,2
2023414,6,13,16,18,26,31,2
2023415,1,3,11,14,16,28,11
2023416,3,7,8,28,29,33,16
2023417,3,9,18,22,30,32,2
2023418,1,5,7,12,19,21,13
2023419,5,6,8,19,20,30,13
2023420,5,22,24,25,26,32,3
2023421,2,4,8,14,23,33,3
2023422,1,11,21,22,25,26,9
2023423,8,12,13,18,29,32,14
2023424,3,10,12,20,25,32,8
2023425,5,6,9,13,23,33,5
2023426,1,3,4,12,21,25,10
2023427,4,5,9,24,25,29,3
2023428,12,15,17,18,28,30,14
2023429,2,3,7,12,18,31,11
2023430,1,10,13,14,25,33,3
2023431,5,6,11,13,16,22,9
2023432,3,5,6,16,18,20,14
2023433,3,10,16,18,26,27,12
2023434,16,17,20,21,24,32,7
2023435,1,5,7,10,13,30,11
2023436,11,14,15,22,25,27,5
2023437,7,16,20,21,23,33,11
2023438,10,11,12,24,26,31,16
2023439,9,13,16,21,26,27,13
2023440,7,8,19,24,30,31,6
2023441,2,7,15,23,30,31,10
2023442,5,16,21,22,27,33,10
2023443,5,14,16,17,22,23,13
2023444,5,13,16,19,20,29,14
2023445,3,18,23,24,26,29,3
2023446,6,7,12,16,22,31,2
2023447,4,14,22,26,31,33,1
2023448,7,8,17,24,30,32,8
2023449,13,15,22,24,25,29,5
2023450,2,4,10,14,16,23,3
2023451,8,10,11,12,15,32,7
2023452,4,15,16,23,24,31,15
2023453,2,5,10,21,23,26,4
2023454,2,4,21,22,26,32,6
2023455,6,11,12,16,18,31,14
2023456,6,13,15,21,26,30,6
2023457,1,7,20,24,26,28,15
2023458,1,7,23,25,28,29,9
2023459,5,6,7,18,26,28,12
2023460,4,9,13,15,21,22,16
2023461,4,13,19,20,21,25,12
2023462,6,20,22,23,27,30,10
2023463,4,6,8,9,10,11,4
2023464,5,12,13,17,23,24,14
2023465,6,9,14,16,21,25,6
2023466,5,6,10,11,32,33,15
2023467,1,4,5,16,23,31,7
2023468,14,16,22,25,31,32,15
2023469,1,3,11,19,26,32,8
2023470,3,8,9,10,18,19,6
2023471,4,17,18,19,30,32,4
2023472,2,18,24,25,27,33,15
2023473,4,14,21,24,27,28,8
2023474,3,9,12,15,20,28,3
2023475,7,8,25,26,29,32,12
2023476,5,7,11,20,26,28,7
2023477,4,9,18,20,23,31,6
2023478,9,10,19,21,28,32,4
2023479,2,9,27,28,30,33,5
2023480,5,9,11,16,23,27,8
2023481,5,9,19,21,26,32,14
2023482,3,21,25,26,29,33,3
2023483,12,18,23,26,29,30,15
2023484,1,19,21,25,28,32,3
2023485,3,18,23,26,28,30,13
2023486,7,9,14,16,27,28,11
2023487,5,18,19,22,30,33,16
2023488,2,4,21,22,26,32,15
2023489,2,6,8,15,28,30,15
2023490,1,5,7,21,23,28,10
2023491,3,9,11,12,18,21,3
2023492,2,10,11,13,21,24,8
2023493,1,4,6,7,23,28,16
2023494,5,8,9,17,19,22,15
2023495,1,4,11,23,27,33,14
2023496,3,8,9,13,31,32,4
2023497,5,7,10,12,21,29,13
2023498,1,3,9,10,17,19,6
2023499,7,21,23,24,29,31,5
2023500,3,4,7,27,28,29,5
2023501,8,11,12,14,25,26,5
2023502,3,8,16,18,21,32,10
2023503,2,7,17,20,30,32,7
2023504,2,19,21,26,29,33,8
2023505,4,8,16,21,25,32,3
2023506,1,5,11,13,24,30,14
2023507,3,12,16,24,25,31,1
2023508,1,2,5,7,9,29,13
2023509,17,19,21,23,25,33,14
2023510,3,18,21,26,28,29,5
2023511,3,6,7,10,17,18,5
2023512,19,21,25,26,27,33,3
2023513,2,8,20,24,28,32,8
2023514,4,6,15,20,28,29,2
2023515,1,4,5,12,20,23,1
2023516,11,12,17,29,31,32,9
2023517,5,11,24,25,28,32,9
2023518,2,8,9,11,14,26,3
2023519,5,12,15,16,17,33,2
2023520,6,9,11,12,25,32,4
2023521,1,2,8,15,17,24,1
2023522,3,5,12,13,16,33,6
2023523,3,8,11,14,27,31,11
2023524,4,5,12,17,18,19,2
2023525,2,12,13,15,17,26,3
2023526,10,11,19,25,28,30,3
2023527,1,7,10,12,19,30,10
2023528,12,16,19,25,30,33,7
2023529,1,10,14,16,30,31,8
2023530,1,11,23,25,31,32,13
2023531,7,8,14,17,20,32,16
2023532,2,3,4,9,10,23,8
2023533,3,15,19,24,27,32,4
2023534,3,9,13,21,27,33,2
2023535,8,9,10,28,32,33,11
2023536,8,9,11,15,21,26,3
2023537,4,9,13,19,25,31,5
2023538,7,11,14,15,31,32,4
2023539,9,10,14,15,23,31,4
2023540,6,10,11,22,26,27,2
2023541,3,5,8,14,21,23,12
2023542,4,9,10,22,26,27,6
2023543,2,15,18,24,26,28,8
2023544,4,5,7,26,30,32,4
2023545,1,4,5,8,25,27,7
2023546,3,21,22,24,26,30,9
2023547,2,3,5,7,21,29,15
2023548,6,9,26,27,28,29,11
2023549,2,3,6,8,15,31,14
2023550,1,13,14,22,26,32,6
2023551,6,9,14,23,29,30,15
2023552,3,8,10,20,30,31,10
2023553,2,16,18,27,29,32,3
2023554,5,7,14,18,21,25,8
2023555,2,12,16,23,25,26,16
2023556,1,6,9,13,21,23,11
2023557,2,9,15,25,26,29,2
2023558,6,8,19,23,25,31,4
2023559,9,16,18,26,27,33,2
2023560,12,15,25,27,28,30,6
2023561,11,12,16,19,24,26,12
2023562,2,5,19,23,30,31,7
2023563,2,3,6,16,20,32,2
2023564,1,15,16,17,31,33,11
2023565,6,9,11,13,23,26,11
2023566,2,4,5,19,23,31,4
2023567,5,12,13,22,23,24,4
2023568,5,6,11,20,22,24,14
2023569,6,18,21,23,30,32,12
2023570,10,12,13,15,23,24,10
2023571,1,9,12,19,23,24,13
2023572,3,11,12,20,26,31,8
2023573,3,5,7,11,24,32,8
2023574,3,6,21,23,29,32,11
2023575,1,7,8,9,23,29,3
2023576,1,4,17,23,24,26,2
2023577,6,14,24,25,29,30,16
2023578,4,13,18,23,25,27,16
2023579,3,11,15,26,28,33,2
2023580,2,3,4,9,11,19,11
2023581,3,6,11,18,24,25,3
2023582,1,14,21,22,23,31,6
2023583,2,4,7,11,28,32,7
2023584,8,10,17,22,27,30,4
2023585,4,16,18,19,26,27,5
2023586,1,3,4,10,14,24,16
2023587,1,6,7,13,21,32,10
2023588,4,6,10,26,28,31,13
2023589,3,9,22,29,31,32,13
2023590,6,12,13,24,29,33,15
2023591,3,8,9,15,17,31,9
2023592,4,10,22,23,25,33,3
2023593,8,18,19,23,25,27,2
2023594,18,22,25,27,28,31,16
2023595,3,10,13,16,28,31,2
2023596,4,6,10,15,25,33,6
2023597,2,3,5,13,14,33,14
2023598,9,10,11,13,20,27,3
2023599,6,11,13,18,25,31,9
2023600,1,19,20,23,26,30,14
2023601,5,8,19,27,29,31,4
2023602,7,10,18,26,28,33,12
2023603,13,16,17,19,21,27,16
2023604,3,5,9,12,13,20,13
2023605,3,11,23,26,29,31,8
2023606,4,9,12,29,30,31,1
2023607,9,10,16,20,22,27,4
2023608,9,10,15,24,25,33,11
2023609,3,7,18,20,21,27,15
2023610,14,16,17,24,25,27,12
2023611,3,4,10,11,17,23,13
2023612,2,6,7,9,27,29,7
2023613,2,4,12,15,16,31,7
2023614,13,15,17,18,24,27,4
2023615,2,12,15,16,20,32,6
2023616,6,9,12,23,27,31,3
2023617,2,6,13,19,28,32,7
2023618,7,9,15,21,22,33,14
2023619,2,22,25,28,30,33,1
2023620,6,9,20,21,26,31,1
2023621,10,15,17,20,23,26,9
2023622,9,12,15,25,28,33,7
2023623,17,20,22,27,30,32,13
2023624,1,7,17,22,27,29,12
2023625,3,4,16,19,20,22,11
2023626,9,18,21,28,30,32,10
2023627,2,8,10,13,17,25,13
2023628,1,9,16,21,24,33,10
2023629,2,13,17,24,27,31,7
2023630,15,18,21,22,26,33,16
2023631,6,20,22,23,27,28,6
2023632,5,7,9,16,19,24,6
2023633,6,8,12,22,24,31,10
2023634,9,10,12,19,22,27,15
2023635,2,8,19,21,28,31,3
2023636,4,13,17,22,28,31,13
2023637,2,5,20,27,28,30,5
2023638,13,14,15,19,22,29,5
2023639,3,11,12,16,21,25,6
2023640,1,4,7,9,15,21,6
2023641,3,11,25,26,30,32,5
2023642,13,14,16,28,31,33,1
2023643,1,3,11,12,13,24,7
2023644,1,2,8,21,24,29,12
2023645,4,9,13,17,19,20,10
2023646,2,5,10,11,27,29,15
2023647,5,11,22,28,29,33,16
2023648,6,13,23,26,30,32,1
2023649,5,7,15,24,31,33,1
2023650,4,11,12,21,23,33,2
2023651,2,17,18,20,25,33,2
2023652,2,4,7,14,23,32,15
2023653,8,9,16,18,23,25,5
2023654,1,4,10,14,22,33,9
2023655,4,9,17,27,29,32,4
2023656,4,7,8,16,19,26,7
2023657,10,12,13,14,17,23,6
2023658,3,7,16,23,30,32,11
2023659,1,3,4,16,22,32,16
2023660,3,6,10,17,24,25,4
2023661,9,10,15,17,31,32,2
2023662,2,7,10,12,28,31,12
2023663,4,21,24,28,30,32,2
2023664,1,6,9,11,21,22,12
2023665,3,12,18,24,29,33,11
2023666,8,9,12,13,15,31,13
2023667,6,21,26,27,29,31,4
2023668,4,6,9,28,31,32,14
2023669,6,13,20,25,29,31,12
2023670,2,4,9,16,30,31,14
2023671,3,9,11,21,29,32,1
2023672,15,17,22,23,29,31,4
2023673,12,16,22,28,29,32,13
2023674,1,4,6,10,17,21,16
2023675,3,11,16,25,32,33,8
2023676,2,8,17,18,22,32,13
2023677,3,15,16,26,30,33,15
2023678,4,6,11,15,16,32,1
2023679,2,7,14,18,26,29,1
2023680,6,7,17,18,20,29,15
2023681,2,8,22,24,27,31,15
2023682,12,22,23,31,32,33,15
2023683,1,7,8,22,25,33,11
2023684,12,17,18,19,23,33,4
2023685,3,5,11,16,23,27,14
2023686,4,7,17,20,30,33,13
2023687,7,14,23,26,27,30,11
2023688,2,7,21,27,30,32,4
2023689,5,17,19,22,29,30,16
2023690,1,4,14,18,27,30,16
2023691,6,12,19,23,24,33,5
2023692,7,11,20,22,25,30,13
2023693,9,10,11,13,16,27,15
2023694,9,14,20,23,24,33,10
2023695,7,14,20,21,23,31,10
2023696,6,9,17,21,23,33,11
2023697,8,16,18,19,23,29,14
2023698,1,4,17,19,26,28,1
2023699,2,7,10,22,25,31,9
2023700,5,9,11,19,22,27,2
2023701,2,12,14,18,19,25,15
2023702,7,13,15,18,21,24,8
2023703,2,13,19,22,23,33,13
2023704,1,2,18,21,27,31,9
2023705,8,13,21,23,27,29,12
2023706,6,10,13,15,22,33,3
2023707,4,12,13,17,24,33,2
2023708,5,6,9,18,28,32,9
2023709,1,2,5,15,22,23,5
2023710,4,20,21,25,30,33,10
2023711,3,11,23,26,32,33,8
2023712,5,6,12,14,17,26,13
2023713,6,7,8,22,23,29,11
2023714,7,10,20,22,24,25,16
2023715,1,8,12,15,22,32,8
2023716,3,4,13,21,26,30,13
2023717,1,17,19,27,30,33,12
2023718,2,10,16,21,29,33,7
2023719,4,6,21,25,31,32,1
2023720,5,7,14,21,22,25,14
2023721,7,14,18,23,24,27,14
2023722,1,5,10,11,15,23,2
2023723,2,5,6,9,26,33,3
2023724,13,14,15,17,21,33,13
2023725,1,4,13,21,22,28,1
2023726,3,5,12,23,28,32,4
2023727,3,10,19,20,25,32,15
2023728,1,16,22,25,26,27,6
2023729,9,13,15,24,26,29,10
2023730,10,20,22,26,28,29,12
2023731,1,2,4,10,19,33,13
2023732,6,7,20,24,29,30,12
2023733,14,17,21,27,28,29,5
2023734,8,9,11,12,20,27,7
2023735,8,12,19,22,26,28,2
2023736,3,5,9,10,22,30,4
2023737,5,11,12,13,31,32,8
2023738,3,7,19,20,29,33,11
2023739,10,11,20,22,29,32,5
2023740,1,6,14,21,24,31,11
2023741,14,15,16,21,23,24,9
2023742,9,11,16,22,24,33,15
2023743,10,16,18,23,25,29,4
2023744,6,9,12,27,28,31,5
2023745,3,13,17,21,24,29,3
2023746,2,13,19,27,30,33,7
2023747,3,16,17,18,29,31,5
2023748,8,19,24,25,26,29,10
2023749,3,9,13,17,30,31,12
2023750,1,8,22,26,28,33,6
2023751,6,9,15,19,30,33,5
2023752,2,8,16,23,25,31,8
2023753,2,5,8,12,17,22,7
2023754,2,15,16,24,25,30,2
2023755,7,17,21,23,27,33,9
2023756,12,13,17,21,31,32,3
2023757,8,13,17,25,30,33,12
2023758,16,20,23,26,29,32,1
2023759,3,6,8,9,15,33,9
2023760,6,10,12,14,20,31,4
2023761,4,11,15,24,26,27,16
2023762,6,7,19,21,31,33,14
2023763,2,5,16,19,29,33,6
2023764,2,3,5,9,19,29,6
2023765,12,13,17,19,20,33,1
2023766,6,7,15,16,19,20,16
2023767,5,11,14,15,20,27,6
2023768,6,11,17,22,24,33,15
2023769,4,5,13,15,31,33,1
2023770,4,5,13,20,27,32,6
2023771,3,17,18,26,29,31,4
2023772,5,6,20,22,29,31,1
2023773,2,12,23,27,28,33,14
2023774,12,13,15,25,26,31,4
2023775,8,9,16,25,28,32,3
