期号,红1,红2,红3,红4,红5,红6,蓝,六爻1,六爻2,六爻3,六爻4,六爻5,六爻6
2023157,1,10,18,22,24,27,10,1,0,1,1,0,1
2023158,10,12,15,16,18,32,11,0,0,1,0,1,1
2023159,7,11,25,28,30,32,8,1,1,0,1,1,1
2023160,2,14,15,25,28,33,11,0,1,0,0,0,0
2023161,13,22,25,26,27,31,5,1,0,0,1,0,0
2023162,3,5,11,17,19,32,4,0,0,0,0,1,0
2023163,1,7,15,17,29,30,5,1,1,1,0,1,0
2023164,3,9,10,16,26,27,11,0,1,1,1,1,0
2023165,6,11,22,26,28,31,13,1,0,1,0,0,1
2023166,2,18,20,21,28,32,3,0,0,1,1,0,1
2023167,3,8,14,16,19,24,4,1,1,0,0,1,1
2023168,1,6,7,10,23,29,2,0,1,0,1,1,1
2023169,4,10,12,14,21,30,5,1,0,0,0,0,0
2023170,6,16,19,22,26,27,6,0,0,0,1,0,0
2023171,6,12,13,20,28,31,8,1,1,1,1,0,0
2023172,8,9,10,15,21,32,15,0,1,1,0,1,0
2023173,1,10,15,17,26,29,6,1,0,1,1,1,0
2023174,5,10,12,19,29,31,14,0,0,1,0,0,1
2023175,7,10,13,17,28,30,16,1,1,0,1,0,1
2023176,7,12,13,16,19,30,10,0,1,0,0,1,1
2023177,2,9,13,19,22,27,1,1,0,0,1,1,1
2023178,4,10,27,29,30,32,8,0,0,0,0,0,0
2023179,7,9,15,20,21,23,5,1,1,1,0,0,0
2023180,2,3,7,10,15,26,12,0,1,1,1,0,0
2023181,6,9,10,11,24,30,14,1,0,1,0,1,0
2023182,5,12,13,18,26,33,9,0,0,1,1,1,0
2023183,11,16,17,26,27,30,10,1,1,0,0,0,1
2023184,3,5,8,15,22,25,8,0,1,0,1,0,1
2023185,1,3,13,24,26,33,9,1,0,0,0,1,1
2023186,8,12,22,24,30,32,9,0,0,0,1,1,1
2023187,4,8,16,22,24,25,1,1,1,1,1,1,1
2023188,3,15,21,27,31,33,15,0,1,1,0,0,0
2023189,2,4,5,20,27,29,10,1,0,1,1,0,0
2023190,4,8,18,29,32,33,5,0,0,1,0,1,0
2023191,12,22,23,24,25,30,14,1,1,0,1,1,0
2023192,4,10,16,21,27,32,14,0,1,0,0,0,1
2023193,3,7,12,15,18,23,15,1,0,0,1,0,1
2023194,4,12,16,18,22,24,12,0,0,0,0,1,1
2023195,4,7,9,26,28,33,15,1,1,1,0,1,1
2023196,1,6,14,20,21,31,2,0,1,1,1,1,1
2023197,5,7,16,19,22,26,3,1,0,1,0,0,0
2023198,8,11,14,27,28,33,5,0,0,1,1,0,0
2023199,1,5,18,28,30,32,9,1,1,0,0,1,0
2023200,1,5,8,12,22,28,1,0,1,0,1,1,0
2023201,1,6,11,16,19,23,9,1,0,0,0,0,1
2023202,4,9,14,17,24,33,3,0,0,0,1,0,1
2023203,12,17,19,25,29,31,4,1,1,1,1,0,1
2023204,2,15,20,24,29,31,10,0,1,1,0,1,1
2023205,2,13,16,28,30,32,14,1,0,1,1,1,1
2023206,3,7,15,23,30,32,3,0,0,1,0,0,0
2023207,3,5,9,10,20,21,11,1,1,0,1,0,0
2023208,14,15,17,19,20,25,4,0,1,0,0,1,0
2023209,8,14,15,29,32,33,14,1,0,0,1,1,0
2023210,4,13,14,22,24,30,11,0,0,0,0,0,1
2023211,5,9,12,21,22,28,16,1,1,1,0,0,1
2023212,3,5,6,14,27,30,4,0,1,1,1,0,1
2023213,2,9,18,19,24,31,11,1,0,1,0,1,1
2023214,8,12,22,25,27,28,14,0,0,1,1,1,1
2023215,4,10,12,19,20,33,7,1,1,0,0,0,0
2023216,4,8,10,12,28,31,12,0,1,0,1,0,0
2023217,8,14,18,19,26,33,1,1,0,0,0,1,0
2023218,2,6,9,18,23,25,10,0,0,0,1,1,0
2023219,1,5,6,22,23,28,13,1,1,1,1,1,0
2023220,1,3,5,10,21,24,7,0,1,1,0,0,1
2023221,6,11,12,15,25,27,10,1,0,1,1,0,1
2023222,2,5,6,21,29,32,2,0,0,1,0,1,1
2023223,6,14,15,16,18,22,15,1,1,0,1,1,1
2023224,4,7,17,18,25,27,12,0,1,0,0,0,0
2023225,8,10,19,22,28,30,16,1,0,0,1,0,0
2023226,2,3,8,13,20,33,1,0,0,0,0,1,0
2023227,5,7,14,20,25,31,9,1,1,1,0,1,0
2023228,1,4,16,19,21,24,14,0,1,1,1,1,0
2023229,8,9,12,13,18,23,12,1,0,1,0,0,1
2023230,2,5,14,24,26,28,1,0,0,1,1,0,1
2023231,5,11,14,19,28,30,13,1,1,0,0,1,1
2023232,1,4,11,13,19,27,6,0,1,0,1,1,1
2023233,3,4,14,24,28,30,8,1,0,0,0,0,0
2023234,3,13,17,26,28,33,10,0,0,0,1,0,0
2023235,3,6,11,15,22,25,4,1,1,1,1,0,0
2023236,12,13,25,29,31,33,5,0,1,1,0,1,0
2023237,5,6,7,9,16,32,5,1,0,1,1,1,0
2023238,5,12,16,21,25,31,15,0,0,1,0,0,1
2023239,5,11,21,28,29,32,15,1,1,0,1,0,1
2023240,5,10,15,21,26,31,9,0,1,0,0,1,1
2023241,3,4,10,15,17,23,15,1,0,0,1,1,1
2023242,3,4,10,12,27,33,3,0,0,0,0,0,0
2023243,15,18,19,25,26,33,2,1,1,1,0,0,0
2023244,11,13,16,17,20,29,5,0,1,1,1,0,0
2023245,4,26,27,29,32,33,11,1,0,1,0,1,0
2023246,2,6,8,12,15,23,15,0,0,1,1,1,0
2023247,10,11,12,13,24,30,14,1,1,0,0,0,1
2023248,4,11,21,22,26,30,3,0,1,0,1,0,1
2023249,7,10,13,18,22,33,9,1,0,0,0,1,1
2023250,3,5,10,19,22,32,12,0,0,0,1,1,1
2023251,3,5,20,23,26,33,10,1,1,1,1,1,1
2023252,5,22,23,25,27,32,3,0,1,1,0,0,0
2023253,1,6,10,12,24,28,7,1,0,1,1,0,0
2023254,5,7,8,22,29,32,3,0,0,1,0,1,0
2023255,7,17,18,19,25,27,2,1,1,0,1,1,0
2023256,5,6,9,13,20,22,6,0,1,0,0,0,1
2023257,2,11,12,14,22,29,8,1,0,0,1,0,1
2023258,15,19,24,25,26,29,8,0,0,0,0,1,1
2023259,16,20,26,30,31,33,7,1,1,1,0,1,1
2023260,10,15,24,25,29,30,13,0,1,1,1,1,1
2023261,6,7,27,31,32,33,5,1,0,1,0,0,0
2023262,4,12,16,17,21,28,4,0,0,1,1,0,0
2023263,3,6,8,9,19,25,15,1,1,0,0,1,0
2023264,3,8,10,14,27,33,15,0,1,0,1,1,0
2023265,2,13,14,17,23,32,12,1,0,0,0,0,1
2023266,1,3,8,12,16,25,11,0,0,0,1,0,1
2023267,2,5,7,22,26,30,10,1,1,1,1,0,1
2023268,9,15,16,23,25,31,1,0,1,1,0,1,1
2023269,2,5,6,7,9,27,14,1,0,1,1,1,1
2023270,2,4,8,10,19,33,8,0,0,1,0,0,0
2023271,3,4,16,27,30,33,1,1,1,0,1,0,0
2023272,5,10,14,16,23,33,1,0,1,0,0,1,0
2023273,6,14,16,19,22,23,3,1,0,0,1,1,0
2023274,5,17,18,24,30,31,1,0,0,0,0,0,1
2023275,2,12,13,21,25,31,9,1,1,1,0,0,1
2023276,2,3,8,12,23,26,4,0,1,1,1,0,1
2023277,2,9,11,12,18,22,6,1,0,1,0,1,1
2023278,5,6,21,26,30,31,3,0,0,1,1,1,1
2023279,2,3,7,10,26,30,7,1,1,0,0,0,0
2023280,3,10,13,17,21,30,16,0,1,0,1,0,0
2023281,3,7,10,17,21,25,12,1,0,0,0,1,0
2023282,4,9,12,22,26,33,14,0,0,0,1,1,0
2023283,6,11,13,26,29,32,16,1,1,1,1,1,0
2023284,9,17,24,26,30,32,3,0,1,1,0,0,1
2023285,6,14,20,27,28,32,10,1,0,1,1,0,1
2023286,3,7,10,11,21,22,10,0,0,1,0,1,1
2023287,6,12,15,23,28,29,15,1,1,0,1,1,1
2023288,3,9,14,20,21,23,2,0,1,0,0,0,0
2023289,5,12,17,24,26,32,6,1,0,0,1,0,0
2023290,2,10,20,22,26,28,15,0,0,0,0,1,0
2023291,3,8,9,21,25,33,12,1,1,1,0,1,0
2023292,2,19,20,24,25,31,5,0,1,1,1,1,0
2023293,3,12,15,24,25,29,5,1,0,1,0,0,1
2023294,8,9,11,21,24,26,4,0,0,1,1,0,1
2023295,2,12,13,16,17,18,4,1,1,0,0,1,1
2023296,7,15,17,20,23,33,10,0,1,0,1,1,1
2023297,3,4,5,13,28,32,15,1,0,0,0,0,0
2023298,3,12,22,26,28,29,11,0,0,0,1,0,0
2023299,5,10,18,23,29,31,6,1,1,1,1,0,0
2023300,4,7,8,12,17,24,5,0,1,1,0,1,0
2023301,1,12,16,18,19,32,12,1,0,1,1,1,0
2023302,3,9,20,29,30,33,10,0,0,1,0,0,1
2023303,14,17,25,26,30,31,3,1,1,0,1,0,1
2023304,3,9,15,21,29,32,12,0,1,0,0,1,1
2023305,5,9,12,14,17,25,2,1,0,0,1,1,1
2023306,6,8,10,11,30,32,8,0,0,0,0,0,0
2023307,3,7,9,19,23,28,9,1,1,1,0,0,0
2023308,3,9,17,18,20,32,6,0,1,1,1,0,0
2023309,10,11,20,22,24,30,11,1,0,1,0,1,0
2023310,2,3,21,25,32,33,9,0,0,1,1,1,0
2023311,1,14,16,20,21,27,10,1,1,0,0,0,1
2023312,8,20,22,26,30,31,13,0,1,0,1,0,1
2023313,2,3,6,20,23,30,15,1,0,0,0,1,1
2023314,7,11,15,20,27,31,5,0,0,0,1,1,1
2023315,12,13,21,24,28,33,5,1,1,1,1,1,1
2023316,4,7,8,11,15,24,9,0,1,1,0,0,0
2023317,2,4,5,10,16,29,13,1,0,1,1,0,0
2023318,6,16,27,28,29,31,11,0,0,1,0,1,0
2023319,6,13,16,17,21,25,15,1,1,0,1,1,0
2023320,1,3,13,16,20,32,15,0,1,0,0,0,1
2023321,2,12,14,16,19,29,10,1,0,0,1,0,1
2023322,1,10,18,28,31,32,4,0,0,0,0,1,1
2023323,9,12,24,28,29,32,13,1,1,1,0,1,1
2023324,2,3,13,18,19,24,7,0,1,1,1,1,1
2023325,3,13,15,17,19,24,9,1,0,1,0,0,0
2023326,4,8,9,12,13,26,11,0,0,1,1,0,0
2023327,7,10,13,17,20,24,2,1,1,0,0,1,0
2023328,3,5,11,23,26,33,16,0,1,0,1,1,0
2023329,5,10,17,20,29,30,11,1,0,0,0,0,1
2023330,11,13,20,21,24,27,10,0,0,0,1,0,1
2023331,10,16,19,22,23,32,1,1,1,1,1,0,1
2023332,4,14,19,22,24,32,10,0,1,1,0,1,1
2023333,2,9,21,25,26,31,8,1,0,1,1,1,1
2023334,4,6,17,21,24,31,13,0,0,1,0,0,0
2023335,2,4,10,16,19,23,7,1,1,0,1,0,0
2023336,2,5,11,14,29,30,7,0,1,0,0,1,0
2023337,24,27,28,29,31,32,2,1,0,0,1,1,0
2023338,9,11,14,16,18,22,13,0,0,0,0,0,1
2023339,11,12,15,18,21,30,12,1,1,1,0,0,1
2023340,7,8,9,17,18,31,10,0,1,1,1,0,1
2023341,7,10,15,20,23,25,16,1,0,1,0,1,1
2023342,12,18,21,24,26,31,9,0,0,1,1,1,1
2023343,8,13,18,19,22,33,13,1,1,0,0,0,0
2023344,2,10,23,31,32,33,3,0,1,0,1,0,0
2023345,9,16,21,23,24,29,7,1,0,0,0,1,0
2023346,9,13,18,23,30,32,5,0,0,0,1,1,0
2023347,2,7,8,16,17,22,8,1,1,1,1,1,0
2023348,4,11,14,15,23,32,16,0,1,1,0,0,1
2023349,1,6,7,9,14,18,16,1,0,1,1,0,1
2023350,10,11,13,25,30,31,2,0,0,1,0,1,1
2023351,6,15,18,24,28,30,2,1,1,0,1,1,1
2023352,2,6,12,27,29,32,13,0,1,0,0,0,0
2023353,10,12,24,28,30,32,2,1,0,0,1,0,0
2023354,1,4,11,19,20,32,10,0,0,0,0,1,0
2023355,5,17,28,29,30,32,15,1,1,1,0,1,0
2023356,4,6,11,13,18,26,15,0,1,1,1,1,0
2023357,1,11,12,17,24,26,10,1,0,1,0,0,1
2023358,12,13,20,21,28,33,14,0,0,1,1,0,1
2023359,3,4,13,21,22,33,6,1,1,0,0,1,1
2023360,1,8,9,11,30,31,9,0,1,0,1,1,1
2023361,9,11,15,16,25,33,10,1,0,0,0,0,0
2023362,1,8,12,17,21,23,2,0,0,0,1,0,0
2023363,6,8,10,13,22,30,10,1,1,1,1,0,0
2023364,8,12,19,20,29,33,5,0,1,1,0,1,0
2023365,10,12,15,20,24,31,14,1,0,1,1,1,0
2023366,8,14,22,25,31,33,3,0,0,1,0,0,1
2023367,3,4,19,24,29,30,2,1,1,0,1,0,1
2023368,5,6,13,18,19,33,11,0,1,0,0,1,1
2023369,7,8,19,22,23,29,16,1,0,0,1,1,1
2023370,2,5,6,15,26,29,14,0,0,0,0,0,0
2023371,4,15,18,22,26,30,10,1,1,1,0,0,0
2023372,1,2,9,24,26,27,7,0,1,1,1,0,0
2023373,3,5,12,14,23,32,2,1,0,1,0,1,0
2023374,2,5,6,10,14,31,5,0,0,1,1,1,0
2023375,13,15,24,27,28,29,13,1,1,0,0,0,1
2023376,6,18,22,25,28,31,5,0,1,0,1,0,1
2023377,6,8,13,17,18,23,5,1,0,0,0,1,1
2023378,1,10,15,25,32,33,14,0,0,0,1,1,1
2023379,5,8,12,15,25,32,9,1,1,1,1,1,1
2023380,2,8,13,14,22,26,1,0,1,1,0,0,0
2023381,2,3,4,14,16,20,15,1,0,1,1,0,0
2023382,2,4,13,15,16,24,8,0,0,1,0,1,0
2023383,4,5,8,10,14,17,11,1,1,0,1,1,0
2023384,5,10,16,21,22,29,8,0,1,0,0,0,1
2023385,2,9,18,19,20,27,6,1,0,0,1,0,1
2023386,2,12,21,22,28,32,13,0,0,0,0,1,1
2023387,5,10,13,14,21,27,6,1,1,1,0,1,1
2023388,8,10,16,28,31,33,5,0,1,1,1,1,1
2023389,4,14,18,30,31,33,5,1,0,1,0,0,0
2023390,7,9,11,16,21,25,3,0,0,1,1,0,0
2023391,3,18,24,27,29,32,7,1,1,0,0,1,0
2023392,4,13,18,20,22,29,2,0,1,0,1,1,0
2023393,5,13,19,24,25,26,7,1,0,0,0,0,1
2023394,10,11,14,28,30,31,1,0,0,0,1,0,1
2023395,4,13,14,24,30,31,16,1,1,1,1,0,1
2023396,8,13,14,16,18,30,11,0,1,1,0,1,1
2023397,12,15,18,19,21,25,10,1,0,1,1,1,1
2023398,15,16,17,24,29,33,4,0,0,1,0,0,0
2023399,7,11,12,21,30,31,14,1,1,0,1,0,0
2023400,1,3,5,9,15,24,14,0,1,0,0,1,0
2023401,7,8,10,11,13,19,8,1,0,0,1,1,0
2023402,9,16,22,25,27,32,16,0,0,0,0,0,1
2023403,6,11,12,24,26,30,5,1,1,1,0,0,1
2023404,12,18,21,29,30,32,2,0,1,1,1,0,1
2023405,2,3,5,22,27,31,1,1,0,1,0,1,1
2023406,3,8,9,21,27,33,5,0,0,1,1,1,1
2023407,1,2,12,14,15,17,16,1,1,0,0,0,0
2023408,1,2,14,18,30,32,1,0,1,0,1,0,0
2023409,1,2,10,17,18,32,14,1,0,0,0,1,0
2023410,4,5,7,12,17,30,8,0,0,0,1,1,0
2023411,9,12,13,17,26,27,13,1,1,1,1,1,0
2023412,6,13,15,19,24,31,8,0,1,1,0,0,1
2023413,3,15,20,22,27,28,2,1,0,1,1,0,1
2023414,6,13,16,18,26,31,2,0,0,1,0,1,1
2023415,1,3,11,14,16,28,11,1,1,0,1,1,1
2023416,3,7,8,28,29,33,16,0,1,0,0,0,0
2023417,3,9,18,22,30,32,2,1,0,0,1,0,0
2023418,1,5,7,12,19,21,13,0,0,0,0,1,0
2023419,5,6,8,19,20,30,13,1,1,1,0,1,0
2023420,5,22,24,25,26,32,3,0,1,1,1,1,0
2023421,2,4,8,14,23,33,3,1,0,1,0,0,1
2023422,1,11,21,22,25,26,9,0,0,1,1,0,1
2023423,8,12,13,18,29,32,14,1,1,0,0,1,1
2023424,3,10,12,20,25,32,8,0,1,0,1,1,1
2023425,5,6,9,13,23,33,5,1,0,0,0,0,0
2023426,1,3,4,12,21,25,10,0,0,0,1,0,0
2023427,4,5,9,24,25,29,3,1,1,1,1,0,0
2023428,12,15,17,18,28,30,14,0,1,1,0,1,0
2023429,2,3,7,12,18,31,11,1,0,1,1,1,0
2023430,1,10,13,14,25,33,3,0,0,1,0,0,1
2023431,5,6,11,13,16,22,9,1,1,0,1,0,1
2023432,3,5,6,16,18,20,14,0,1,0,0,1,1
2023433,3,10,16,18,26,27,12,1,0,0,1,1,1
2023434,16,17,20,21,24,32,7,0,0,0,0,0,0
2023435,1,5,7,10,13,30,11,1,1,1,0,0,0
2023436,11,14,15,22,25,27,5,0,1,1,1,0,0
2023437,7,16,20,21,23,33,11,1,0,1,0,1,0
2023438,10,11,12,24,26,31,16,0,0,1,1,1,0
2023439,9,13,16,21,26,27,13,1,1,0,0,0,1
2023440,7,8,19,24,30,31,6,0,1,0,1,0,1
2023441,2,7,15,23,30,31,10,1,0,0,0,1,1
2023442,5,16,21,22,27,33,10,0,0,0,1,1,1
2023443,5,14,16,17,22,23,13,1,1,1,1,1,1
2023444,5,13,16,19,20,29,14,0,1,1,0,0,0
2023445,3,18,23,24,26,29,3,1,0,1,1,0,0
2023446,6,7,12,16,22,31,2,0,0,1,0,1,0
2023447,4,14,22,26,31,33,1,1,1,0,1,1,0
2023448,7,8,17,24,30,32,8,0,1,0,0,0,1
2023449,13,15,22,24,25,29,5,1,0,0,1,0,1
2023450,2,4,10,14,16,23,3,0,0,0,0,1,1
2023451,8,10,11,12,15,32,7,1,1,1,0,1,1
2023452,4,15,16,23,24,31,15,0,1,1,1,1,1
2023453,2,5,10,21,23,26,4,1,0,1,0,0,0
2023454,2,4,21,22,26,32,6,0,0,1,1,0,0
2023455,6,11,12,16,18,31,14,1,1,0,0,1,0
2023456,6,13,15,21,26,30,6,0,1,0,1,1,0
2023457,1,7,20,24,26,28,15,1,0,0,0,0,1
2023458,1,7,23,25,28,29,9,0,0,0,1,0,1
2023459,5,6,7,18,26,28,12,1,1,1,1,0,1
2023460,4,9,13,15,21,22,16,0,1,1,0,1,1
2023461,4,13,19,20,21,25,12,1,0,1,1,1,1
2023462,6,20,22,23,27,30,10,0,0,1,0,0,0
2023463,4,6,8,9,10,11,4,1,1,0,1,0,0
